주차장관리번호,주차장명,경도,위도,주차장구분,주차장유형,주차장지번주소,주차장도로명주소,주차구획수
17594,장지동 체비지 공영주차장,127.1343743,37.49062047,공영,노외,서울특별시 송파구 문정동 2-5,서울특별시 송파구 송이로31길,101
17595,장지,127.1343743,37.49062047,공영,노외,서울특별시 송파구 문정동2-5,서울특별시 송파구 송이로31길,100
17667,안말,127.1299217,37.5312555,공영,노외,서울특별시 강동구 성내동 512번지,서울특별시 강동구 풍성로45길 11(성내동),174
17668,안말 주차장,127.1299217,37.5312555,공영,노외,서울특별시 강동구 성내동 512,서울특별시 강동구 풍성로45길 11(성내동),174
17669,안말,127.1299217,37.5312555,공영,노외,서울특별시 강동구 성내동 512번지,서울특별시 강동구 풍성로45길 11(성내동),174
17693,해공,127.1288048,37.5410986,공영,노외,서울특별시 강동구 천호동 404-1번지,서울특별시 강동구 구천면로 29길 11(천호동),342
17694,해공 주차장,127.1288048,37.5410986,공영,노외,서울특별시 강동구 천호동 404-1,서울특별시 강동구 구천면로 29길 11(천호동),342
17695,해공,127.1288048,37.5410986,공영,노외,서울특별시 강동구 천호동 404-1번지,서울특별시 강동구 구천면로 29길 11(천호동),342
17700,위례성길 방이습지 공영주차장,127.1286093,37.507955,공영,노상,서울특별시 송파구 452-4,서울특별시 송파구 위례성대로,55
17731,로데오길 공영주차장,127.1272727,37.49296375,공영,노상,서울특별시 송파구 문정동 3-2,서울특별시 송파구 동남로,56
17752,문정근린공원,127.1265244,37.48647009,공영,노외,서울특별시 송파구 문정동38-3외2,서울특별시 송파구 문정로33,286
17763,장지동 체비지 공영주차장,127.1259072,37.4911954,공영,노외,서울특별시 송파구 문정동 2-5,서울특별시 송파구 송이로31길,101
17767,위례성길 공영주차장,127.1256335,37.51079099,공영,노상,서울특별시 송파구 방이동 12,서울특별시 송파구 위례성대로,87
17768,위례성길 방이습지 공영주차장,127.1256335,37.51079099,공영,노상,서울특별시 송파구 452-4,서울특별시 송파구 위례성대로,55
17769,위례성길,127.1256335,37.51079099,공영,노상,서울특별시 송파구 방이동94-3외4,서울특별시 송파구 위례성대로,88
